x,y,gid,Name,description
"-46,5939125","-23,5541433",115,PEV - Praça Industriários,"Materiais recicláveis: metal, papel, plástico e vidro.  Rua Dos Trilhos - Mooca."
"-46,678158","-23,5414653",116,PEV - Praça Irmãos Karmam,"Materiais recicláveis: metal, papel, plástico e vidro.   Rua José Donateli / Rua Pedro Costa (em frente a padaria) - Sumaré."
"-46,7292721","-23,4817289",117,PEV - Praça Jacinto Alberto,"Materiais recicláveis: metal, papel, plástico e vidro.  Rua Loureiro Apolo - Pirituba."
"-46,6784892","-23,4888042",118,PEV - Praça João Cabral de Rezende,"Materiais recicláveis: metal, papel, plástico e vidro.  Rua Catanduvas do Sul - Jardim Primavera."
"-46,6346029","-23,5527156",119,PEV - Praça João Mendes,"Materiais recicláveis: metal, papel, plástico e vidro.  Praça João Mendes X Av. Liberdade - Sé."
"-46,5719836","-23,5361386",120,PEV - Praça José Moreno,"Materiais recicláveis: metal, papel, plástico e vidro.  Av. Celso Garcia X Rua Simas Pimenta - Tatuapé."
"-46,6192807","-23,5737672",121,PEV - Praça José Vicente Nóbrega,"Materiais recicláveis: metal, papel, plástico e vidro.  Rua Oliveira Lima, 106 - Cambuci."
"-46,6433492","-23,5325815",122,PEv - Praça Largo Coração de Jesus,"Materiais recicláveis: metal, papel, plástico e vidro.  Al. Glete X Rua Barão de Piracicaba - Campos Elisios."
"-46,6456256","-23,5416005",123,PEV - Largo do Arouche,"Materiais recicláveis: metal, papel, plástico e vidro.  Largo do Arouche 161 - República."
"-46,5686234","-23,5491447",124,PEV - Praça Largo Nossa Senhora do Bom Parto,"Materiais recicláveis: metal, papel, plástico e vidro.   Rua Azevedo Soares - Mooca."
"-46,6534592","-23,535455",125,PEV - Praça Marechal Deodoro,"Materiais recicláveis: metal, papel, plástico e vidro.  Rua das Palmeiras - Santa Cecília."
"-46,7001485","-23,5207166",126,PEV - Praça Miguel Dell'Erba,"Materiais recicláveis: metal, papel, plástico e vidro. Rua Guaicurus (em frente ao shopping Lapa) - Lapa."
"-46,676955","-23,5437268",127,PEV - Praça Miriam de Barros,"Materiais recicláveis: metal, papel, plástico e vidro.  Rua Miguel Cabrera - Sumaré."
"-46,7475329","-23,5096887",128,PEV - Praça Nair Zampieri,"Materiais recicláveis: metal, papel, plástico e vidro. Rua Dr.Pedro Henrique de Orleans X Rua Pauva - Vila Jaguará."
"-46,6557228","-23,5259256",129,PEV - Praça Nicolau de Morais Barros Filho,"Materiais recicláveis: metal, papel, plástico e vidro. Praça Nicolau de Morais Barros Filho - Barra Funda."
"-46,5682333","-23,5182661",130,PEV - Praça Parque Novo Mundo ,"Materiais recicláveis: metal, papel, plástico e vidro. Av. Serafim Gonçalves Pereira - Vila Maria-Vila Guilherme."
"-46,6756249","-23,4905746",131,PEV - Praça Pedro Maschio ,"Materiais recicláveis: metal, papel, plástico e vidro. Avenida Deputado Emílio Carlos x Rua Cecilia Maierovitch - Casa Verde."
"-46,7501727","-23,5106785",132,PEV - Praça Petrolândia,"Materiais recicláveis: metal, papel, plástico e vidro. Praça Petrolândia, Rua Lopes Barros<br> - Vila Santa Edwiges."
"-46,6410405","-23,5504079",133,PEV - Presidente Vereador Paulo Kobayashi ,"Materiais recicláveis: metal, papel, plástico e vidro. Rua Maria Paula X Rua Santo Amaro - Ao lado da Câmara Municipal de São Paulo - Bela Vista."
"-46,7025695","-23,5978947",134,PEV - Praça Renzo Pagliari,"Materiais recicláveis: metal, papel, plástico e vidro. Praça Renzo Pagliari - Cidade Jardim."
"-46,6764811","-23,547203",135,PEV - Praça Ricardo Ramos,"Materiais recicláveis: metal, papel, plástico e vidro. Praça Ricardo Ramos - Sumaré."
"-46,5706905","-23,5409087",136,PEV - Praça Santa Terezinha,"Materiais recicláveis: metal, papel, plástico e vidro. Praça Santa Terezinha - Vila Azevedo."
"-46,5871189","-23,5151635",137,PEV - Praça Santo Eduardo,"Materiais recicláveis: metal, papel, plástico e vidro. Praça Santo Eduardo - Vila Maria."
"-46,5734527","-23,5450444",138,PEV - Praça Sílvio Romero,"Materiais recicláveis: metal, papel, plástico e vidro. Praça Sílvio Romero - Quarta Parada."
"-46,5655908","-23,510525",139,PEV - Praça Tenente-Brigadeiro Roberto Faria Lima,"Materiais recicláveis: metal, papel, plástico e vidro. Praça Tenente-Brigadeiro Roberto Faria Lima - Parque Novo Mundo."
"-46,7055671","-23,5799821",140,PEV - Praça Três Corações,"Materiais recicláveis: metal, papel, plástico e vidro. Praça Três Corações - Jardim Guedala."
"-46,7577688","-23,4093938",141,PEV - Praça Vigário João Gonçalves de Lima,"Materiais recicláveis: metal, papel, plástico e vidro. Praça Vig. João Gonçalves de Lima - Vila Perus."
"-46,7122789","-23,5976745",142,PEV - Praça Vinícius de Moraes,"Materiais recicláveis: metal, papel, plástico e vidro. Av. Giovanni Gronchi - Morumbi."
"-46,6694123","-23,5461418",143,PEV - Praça Wendell Wilkie,"Materiais recicláveis: metal, papel, plástico e vidro.  Av. Almirante Pereira Guimarães X Av Arnolfo Azevedo - Pacaembu. "
"-46,6887608","-23,4900135",144,PEV - Pronto Socorro da Freguesia do Ó,"Materiais recicláveis: metal, papel, plástico e vidro. Av. João Paulo I, 421 - Freguesia do Ó."
